5,0,0,0,5
5,0,0,0,5
6,0,0,0,4
5,0,0,0,5
6,0,0,0,4
4,0,0,0,6
5,0,0,0,5
4,0,0,0,6
7,0,0,0,3
3,0,0,0,7
6,0,0,0,4
5,0,0,0,5
5,0,0,0,5
5,0,0,0,5
8,0,0,0,2
2,0,0,0,8
3,0,0,0,7
6,0,0,0,4
4,0,0,0,6
5,0,0,0,5
7,0,0,0,3
7,0,0,0,3
8,0,0,0,2
7,0,0,0,3
5,0,0,0,5
5,0,0,0,5
7,0,0,0,3
7,0,0,0,3
5,0,0,0,5
6,0,0,0,4
7,0,0,0,3
6,0,0,0,4
8,0,0,0,2
6,0,0,0,4
4,0,0,0,6
5,0,0,0,5
5,0,0,0,5
6,0,0,0,4
5,0,0,0,5
4,0,0,0,6
6,0,0,0,4
5,0,0,0,5
5,0,0,0,5
3,0,0,0,7
3,0,0,0,7
4,0,0,0,6
5,0,0,0,5
7,0,0,0,3
8,0,0,0,2
8,0,0,0,2
4,0,0,0,6
8,0,0,0,2
6,0,0,0,4
6,0,0,0,4
2,0,0,0,8
4,0,0,0,6
6,0,0,0,4
7,0,0,0,3
6,0,0,0,4
8,0,0,0,2
6,0,0,0,4
5,0,0,0,5
7,0,0,0,3
8,0,0,0,2
4,0,0,0,6
2,0,0,0,8
8,0,0,0,2
5,0,0,0,5
6,0,0,0,4
8,0,0,0,2
7,0,0,0,3
4,0,0,0,6
5,0,0,0,5
4,0,0,0,6
6,0,0,0,4
5,0,0,0,5
7,0,0,0,3
7,0,0,0,3
3,0,0,0,7
6,0,0,0,4
4,0,0,0,6
4,0,0,0,6
6,0,0,0,4
4,0,0,0,6
7,0,0,0,3
8,0,0,0,2
7,0,0,0,3
7,0,0,0,3
4,0,0,0,6
5,0,0,0,5
4,0,0,0,6
4,0,0,0,6
4,0,0,0,6
7,0,0,0,3
6,0,0,0,4
3,0,0,0,7
6,0,0,0,4
7,0,0,0,3
5,0,0,0,5
4,0,0,0,6
